id,category,question,answer
1,Company Overview,What is Spheretech?,Spheretech is a cybersecurity software company headquartered in Maslak Istanbul. Founded in 2015 it specializes in enterprise-grade security solutions including threat intelligence endpoint protection and Security Operations Center (SOC) services. Spheretech serves clients across finance healthcare and government sectors in Turkey and the EMEA region.
2,Company Overview,What industries does Spheretech serve?,Spheretech primarily serves clients in the financial services sector (banks and fintech companies) healthcare organizations government agencies and critical infrastructure providers. The company has over 200 enterprise clients across Turkey and the broader EMEA region.
3,Company Overview,Where is Spheretech located?,Spheretech's headquarters is located in Maslak Istanbul Turkey. The company also has regional offices in Ankara and a European branch in Amsterdam Netherlands to serve its EMEA client base.
4,Company Overview,How many employees does Spheretech have?,Spheretech employs over 350 cybersecurity professionals including ethical hackers security analysts SOC operators threat intelligence researchers and software engineers. The company has grown 40% year-over-year since 2020.
5,Products,What is SphereShield?,SphereShield is Spheretech's flagship endpoint detection and response (EDR) platform. It provides real-time threat monitoring behavioral analysis and automated incident response for endpoints across an organization. SphereShield uses AI-powered anomaly detection to identify zero-day threats and reduce false positives by up to 70%.
6,Products,What is SphereSOC?,SphereSOC is a managed Security Operations Center platform that provides 24/7 monitoring of client infrastructure. It aggregates logs from multiple sources performs correlation analysis and enables security teams to detect respond to and remediate threats in real time. SphereSOC integrates with SIEM tools like Splunk IBM QRadar and Microsoft Sentinel.
7,Products,What is ThreatRadar?,ThreatRadar is Spheretech's threat intelligence platform. It aggregates data from open-source intelligence (OSINT) dark web monitoring and proprietary honeypot networks to provide actionable threat feeds. ThreatRadar delivers IOCs (Indicators of Compromise) CVE intelligence and adversary TTPs mapped to the MITRE ATT&CK framework.
8,Products,What is SecureVault?,SecureVault is Spheretech's data loss prevention (DLP) and encryption solution. It protects sensitive data at rest and in transit using AES-256 encryption enforces data classification policies and prevents unauthorized exfiltration of corporate data. SecureVault is compliant with GDPR KVKK and ISO 27001 standards.
9,Products,Does Spheretech offer a SIEM solution?,Spheretech does not offer a native SIEM product but its SphereSOC platform integrates seamlessly with leading SIEM solutions including Splunk IBM QRadar Microsoft Sentinel and Elastic SIEM. Spheretech provides professional services for SIEM deployment tuning and management.
10,Services,What managed security services does Spheretech offer?,Spheretech offers a comprehensive suite of managed security services including Managed Detection and Response (MDR) managed SOC services vulnerability management penetration testing incident response retainer services and security awareness training. All services are backed by SLAs with guaranteed response times.
11,Services,What is Spheretech's penetration testing service?,Spheretech's penetration testing service is conducted by certified ethical hackers (CEH OSCP CISSP certified). The service covers network penetration testing web application testing mobile application testing social engineering assessments and red team exercises. All engagements follow a structured methodology aligned with OWASP and PTES frameworks.
12,Services,Does Spheretech offer incident response services?,Yes. Spheretech provides 24/7 incident response services through its Incident Response Retainer program. Clients on retainer receive guaranteed response times of under 1 hour for critical incidents. The IR team handles containment forensic analysis root cause analysis and remediation reporting.
13,Services,What is Spheretech's vulnerability management service?,Spheretech's vulnerability management service includes continuous network and asset scanning risk-based prioritization of vulnerabilities patch management advisory and compliance reporting. The service uses industry-leading scanners like Tenable Nessus and Qualys and delivers monthly executive dashboards.
14,Compliance and Certifications,What certifications does Spheretech hold?,Spheretech is certified under ISO 27001 (Information Security Management) ISO 27701 (Privacy Information Management) and SOC 2 Type II. The company is also an authorized PCI DSS Qualified Security Assessor (QSA) and complies with Turkey's KVKK data protection regulation.
15,Compliance and Certifications,Is Spheretech GDPR compliant?,Yes. Spheretech is fully GDPR compliant. All client data processed by Spheretech's platforms and services is handled in accordance with GDPR requirements. Data residency options are available for EU clients to ensure data does not leave EU jurisdiction. Spheretech's DPO (Data Protection Officer) oversees all data processing activities.
16,Compliance and Certifications,Does Spheretech comply with Turkish KVKK regulations?,Yes. Spheretech is fully compliant with Turkey's Personal Data Protection Law (KVKK). The company is registered with the VERBIS data registry and has implemented all required technical and administrative measures. Spheretech also assists clients in achieving their own KVKK compliance through dedicated advisory services.
17,Pricing and Licensing,How is SphereShield priced?,SphereShield is licensed on a per-endpoint annual subscription basis. Pricing starts at $15 per endpoint per month for up to 500 endpoints with volume discounts available for larger deployments. Enterprise pricing with custom SLAs and dedicated support is available for organizations with 5000+ endpoints. Contact the sales team for a tailored quote.
18,Pricing and Licensing,Is there a free trial available for Spheretech products?,Yes. Spheretech offers a 30-day free pilot program for SphereShield and ThreatRadar. The pilot includes full product functionality onboarding support and a post-pilot assessment report. To request a pilot contact the Spheretech sales team at sales@spheretech.com.tr or through the website.
